Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MTPAPI,Chrome 114.0.0.0,,,2023-06-20 15:31:49,2023-06-20 15:32:04,15.042s,FAILED
,,,,,,,
Test Cases/MolecularTargetAPI,Chrome 114.0.0.0,,,2023-06-20 15:32:01,2023-06-20 15:32:04,3.442s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-20 15:32:01,2023-06-20 15:32:04,2.692s,PASSED
testName = $testName,Chrome 114.0.0.0,,,2023-06-20 15:32:04,2023-06-20 15:32:04,0.001s,PASSED
url = $host + $suffixUrl,Chrome 114.0.0.0,,,2023-06-20 15:32:04,2023-06-20 15:32:04,0.001s,PASSED
checkPointName = testName,Chrome 114.0.0.0,,,2023-06-20 15:32:04,2023-06-20 15:32:04,0.000s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-20 15:32:04,2023-06-20 15:32:04,0.168s,PASSED
"setViewPortSize(1200, 99999)",Chrome 114.0.0.0,,,2023-06-20 15:32:04,2023-06-20 15:32:04,0.279s,PASSED
navigateToUrl(url),Chrome 114.0.0.0,,,2023-06-20 15:32:04,2023-06-20 15:32:04,0.240s,FAILED
