Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MTPAPI,Chrome 114.0.0.0,,,2023-06-20 16:28:41,2023-06-20 16:29:46,1m - 4.750s,PASSED
,,,,,,,
Test Cases/MTP_1,Chrome 114.0.0.0,,,2023-06-20 16:28:41,2023-06-20 16:29:46,1m - 4.514s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-20 16:28:42,2023-06-20 16:28:44,2.618s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-20 16:28:44,2023-06-20 16:28:44,0.147s,PASSED
"setViewPortSize(1200, 99999)",Chrome 114.0.0.0,,,2023-06-20 16:28:44,2023-06-20 16:28:45,0.250s,PASSED
"td = findTestData(""MolecularTargetApI"")",Chrome 114.0.0.0,,,2023-06-20 16:28:45,2023-06-20 16:28:45,0.761s,PASSED
"for ([i = 1, i <= td.getRowNumbers(), (i++)])",Chrome 114.0.0.0,,,2023-06-20 16:28:45,2023-06-20 16:29:45,59.612s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-20 16:29:45,2023-06-20 16:29:46,0.662s,PASSED
